layer,head,position,normalized_effect,published_class
2,2,END,-0.000163,previous token
2,3,IO,0.000107,
2,3,IO+1,0.000033,
2,3,S1,-0.000321,
2,3,S1+1,-0.000119,
2,3,S2,-0.000350,
2,3,S2+1,0.000227,
2,3,END,-0.000145,
2,4,IO,0.000159,
2,4,IO+1,0.000136,
2,4,S1,-0.000154,
2,4,S1+1,-0.000056,
2,4,S2,-0.000447,
2,4,S2+1,0.000028,
2,4,END,-0.000594,
2,5,IO,-0.000159,
2,5,IO+1,-0.000092,
2,5,S1,0.000207,
2,5,S1+1,0.000131,
2,5,S2,0.000117,
2,5,S2+1,-0.000120,
2,5,END,-0.000146,
2,6,IO,-0.001039,
2,6,IO+1,-0.000179,
2,6,S1,0.000996,
2,6,S1+1,0.000155,
2,6,S2,0.000280,
2,6,S2+1,0.000006,
2,6,END,0.000270,
2,7,IO,-0.001482,
2,7,IO+1,-0.000354,
2,7,S1,0.002601,
2,7,S1+1,0.000207,
2,7,S2,0.001462,
2,7,S2+1,0.000323,
2,7,END,0.000433,
2,8,IO,-0.000044,
2,8,IO+1,0.000029,
2,8,S1,-0.000048,
2,8,S1+1,-0.000038,
2,8,S2,-0.000185,
2,8,S2+1,-0.000003,
2,8,END,-0.000062,
2,9,IO,-0.000084,
2,9,IO+1,0.001384,
2,9,S1,-0.000021,
2,9,S1+1,-0.001400,
2,9,S2,-0.000851,
2,9,S2+1,0.000759,
2,9,END,0.000159,
2,10,IO,0.000272,
2,10,IO+1,0.000073,
2,10,S1,-0.000185,
2,10,S1+1,-0.000035,
2,10,S2,-0.000083,
2,10,S2+1,-0.000151,
2,10,END,0.000017,
2,11,IO,-0.000136,
2,11,IO+1,0.000005,
2,11,S1,0.000162,
2,11,S1+1,0.000020,
2,11,S2,0.000779,
2,11,S2+1,-0.000118,
2,11,END,-0.000174,
3,0,IO,0.001316,duplicate token
3,0,IO+1,0.000026,duplicate token
3,0,S1,-0.001742,duplicate token
3,0,S1+1,0.000012,duplicate token
3,0,S2,-0.002968,duplicate token
3,0,S2+1,0.000058,duplicate token
3,0,END,0.000024,duplicate token
3,1,IO,-0.000199,
3,1,IO+1,-0.000037,
3,1,S1,0.000006,
3,1,S1+1,0.000031,
3,1,S2,0.000132,
3,1,S2+1,-0.000107,
3,1,END,-0.000089,
3,2,IO,0.000690,
3,2,IO+1,-0.000241,
3,2,S1,-0.000431,
3,2,S1+1,-0.000221,
3,2,S2,-0.000715,
3,2,S2+1,-0.000072,
3,2,END,-0.000180,
3,3,IO,-0.001246,
3,3,IO+1,0.000161,
3,3,S1,0.000994,
3,3,S1+1,-0.000244,
3,3,S2,-0.000561,
3,3,S2+1,0.000011,
3,3,END,0.000319,
3,4,IO,0.000453,
3,4,IO+1,-0.000037,
3,4,S1,-0.000383,
3,4,S1+1,-0.000034,
3,4,S2,0.000460,
3,4,S2+1,-0.000213,
3,4,END,-0.000091,
3,5,IO,-0.000368,
3,5,IO+1,-0.000267,
3,5,S1,0.000006,
3,5,S1+1,-0.000096,
3,5,S2,-0.000928,
3,5,S2+1,-0.000022,
3,5,END,0.000132,
3,6,IO,0.002149,
3,6,IO+1,0.001822,
3,6,S1,-0.001730,
3,6,S1+1,-0.001340,
3,6,S2,-0.001880,
3,6,S2+1,0.002803,
3,6,END,-0.000820,
3,7,IO,-0.000291,
3,7,IO+1,0.000643,
3,7,S1,-0.000342,
3,7,S1+1,-0.001307,
3,7,S2,-0.000227,
3,7,S2+1,0.000098,
3,7,END,0.000411,
3,8,IO,0.000176,
3,8,IO+1,-0.000019,
3,8,S1,0.000191,
3,8,S1+1,-0.000019,
3,8,S2,-0.000093,
3,8,S2+1,-0.000186,
3,8,END,-0.000043,
3,9,IO,0.000280,
3,9,IO+1,0.000046,
3,9,S1,-0.000263,
3,9,S1+1,-0.000018,
3,9,S2,-0.000428,
3,9,S2+1,-0.000029,
3,9,END,0.000229,
3,10,IO,0.000432,
3,10,IO+1,-0.000424,
3,10,S1,-0.000425,
3,10,S1+1,0.000260,
3,10,S2,-0.000054,
3,10,S2+1,0.000079,
3,10,END,0.000015,
3,11,IO,0.000225,
3,11,IO+1,0.000041,
3,11,S1,-0.000257,
3,11,S1+1,0.000031,
3,11,S2,-0.000210,
3,11,S2+1,-0.000032,
3,11,END,0.000242,
4,0,IO,0.000386,
4,0,IO+1,0.000046,
4,0,S1,-0.000206,
4,0,S1+1,0.000035,
4,0,S2,-0.000234,
4,0,S2+1,-0.000007,
4,0,END,-0.000575,
4,1,IO,-0.000064,
4,1,IO+1,0.000004,
4,1,S1,-0.000032,
4,1,S1+1,-0.000092,
4,1,S2,-0.000203,
4,1,S2+1,0.000021,
4,1,END,0.000205,
4,2,IO,-0.000058,
4,2,IO+1,0.000120,
4,2,S1,-0.000135,
4,2,S1+1,-0.000008,
4,2,S2,-0.000107,
4,2,S2+1,-0.000046,
4,2,END,0.000241,
4,3,IO,-0.000292,
4,3,IO+1,0.001703,
4,3,S1,-0.000141,
4,3,S1+1,-0.000594,
4,3,S2,0.000202,
4,3,S2+1,0.005489,
4,3,END,0.000375,
4,4,IO,-0.000870,
4,4,IO+1,-0.000627,
4,4,S1,0.000867,
4,4,S1+1,0.000586,
4,4,S2,0.001167,
4,4,S2+1,-0.000488,
4,4,END,0.000053,
4,5,IO,0.000299,
4,5,IO+1,0.000110,
4,5,S1,-0.000388,
4,5,S1+1,-0.000019,
4,5,S2,-0.000159,
4,5,S2+1,-0.000161,
4,5,END,0.000030,
4,6,IO,-0.000709,
4,6,IO+1,0.000569,
4,6,S1,0.000366,
4,6,S1+1,-0.000140,
4,6,S2,-0.000214,
4,6,S2+1,-0.000215,
4,6,END,-0.000063,
4,7,IO,0.002038,
4,7,IO+1,-0.001600,
4,7,S1,-0.001213,
4,7,S1+1,0.001509,
4,7,S2,-0.000444,
