layer,head,input,position,screen_score,published_class
0,7,v,B_def,0.000809,
0,7,v,comma_B,0.000000,
0,7,v,C_def,0.003003,
0,7,v,A_doc,-0.000250,
0,7,v,B_doc,-0.000279,
0,7,v,END,0.000000,
1,0,q,A_def,0.004571,
1,0,q,B_def,0.005460,
1,0,q,comma_B,-0.000171,
1,0,q,C_def,0.002265,
1,0,q,A_doc,-0.001971,
1,0,q,B_doc,-0.004521,
1,0,q,END,0.000082,
1,0,k,A_def,0.005685,
1,0,k,B_def,0.008277,
1,0,k,comma_B,-0.000094,
1,0,k,C_def,0.000212,
1,0,k,A_doc,-0.002116,
1,0,k,B_doc,-0.003788,
1,0,k,END,-0.000023,
1,0,v,A_def,0.000170,
1,0,v,B_def,0.006388,
1,0,v,comma_B,-0.000225,
1,0,v,C_def,0.011802,
1,0,v,A_doc,-0.000029,
1,0,v,B_doc,-0.002360,
1,0,v,END,0.000005,
1,1,q,A_def,0.002398,
1,1,q,B_def,0.005331,
1,1,q,comma_B,-0.000196,
1,1,q,C_def,0.001178,
1,1,q,A_doc,-0.000945,
1,1,q,B_doc,-0.000865,
1,1,q,END,0.000070,
1,1,k,A_def,0.002777,
1,1,k,B_def,0.004534,
1,1,k,comma_B,-0.000489,
1,1,k,C_def,0.001969,
1,1,k,A_doc,-0.000266,
1,1,k,B_doc,0.000836,
1,1,k,END,0.000038,
1,1,v,A_def,-0.000826,
1,1,v,B_def,0.001576,
1,1,v,comma_B,0.000417,
1,1,v,C_def,0.002287,
1,1,v,A_doc,0.001414,
1,1,v,B_doc,0.003651,
1,1,v,END,-0.000040,
1,2,q,A_def,-0.013953,duplicate token
1,2,q,B_def,-0.013950,duplicate token
1,2,q,comma_B,-0.000009,duplicate token
1,2,q,C_def,0.002776,duplicate token
1,2,q,A_doc,0.000267,duplicate token
1,2,q,B_doc,-0.002161,duplicate token
1,2,q,END,-0.000009,duplicate token
1,2,k,A_def,-0.014376,duplicate token
1,2,k,B_def,-0.013304,duplicate token
1,2,k,comma_B,0.000015,duplicate token
1,2,k,C_def,0.002976,duplicate token
1,2,k,A_doc,0.006206,duplicate token
1,2,k,B_doc,0.007939,duplicate token
1,2,k,END,0.000019,duplicate token
1,2,v,A_def,-0.001259,duplicate token
1,2,v,B_def,0.002903,duplicate token
1,2,v,comma_B,0.000050,duplicate token
1,2,v,C_def,-0.004019,duplicate token
1,2,v,A_doc,-0.000575,duplicate token
1,2,v,B_doc,-0.000301,duplicate token
1,2,v,END,0.000023,duplicate token
1,3,q,A_def,0.000113,
1,3,q,B_def,-0.000263,
1,3,q,comma_B,-0.000133,
1,3,q,C_def,0.000996,
1,3,q,A_doc,-0.000450,
1,3,q,B_doc,-0.000300,
1,3,q,END,-0.000111,
1,3,k,A_def,-0.001399,
1,3,k,B_def,-0.000823,
1,3,k,comma_B,0.000004,
1,3,k,C_def,-0.001249,
1,3,k,A_doc,-0.000004,
