corruption,component,layer,position,effect
random_def,attn_out,2,END,0.034726
random_def,attn_out,3,A_def,0.000000
random_def,attn_out,3,B_def,0.000000
random_def,attn_out,3,comma_B,0.000000
random_def,attn_out,3,C_def,0.000000
random_def,attn_out,3,A_doc,0.000000
random_def,attn_out,3,B_doc,0.000000
random_def,attn_out,3,END,1.057774
random_def,mlp_out,0,A_def,0.000000
random_def,mlp_out,0,B_def,0.000000
random_def,mlp_out,0,comma_B,0.000000
random_def,mlp_out,0,C_def,0.000000
random_def,mlp_out,0,A_doc,0.000000
random_def,mlp_out,0,B_doc,0.000000
random_def,mlp_out,0,END,0.000000
random_def,mlp_out,1,A_def,0.000000
random_def,mlp_out,1,B_def,0.000000
random_def,mlp_out,1,comma_B,0.000000
random_def,mlp_out,1,C_def,0.000000
random_def,mlp_out,1,A_doc,0.000000
random_def,mlp_out,1,B_doc,0.000000
random_def,mlp_out,1,END,0.000000
random_def,mlp_out,2,A_def,0.000000
random_def,mlp_out,2,B_def,0.000000
random_def,mlp_out,2,comma_B,0.000000
random_def,mlp_out,2,C_def,0.000000
random_def,mlp_out,2,A_doc,0.000000
random_def,mlp_out,2,B_doc,0.000000
random_def,mlp_out,2,END,0.000000
random_def,mlp_out,3,A_def,0.000000
random_def,mlp_out,3,B_def,0.000000
random_def,mlp_out,3,comma_B,0.000000
random_def,mlp_out,3,C_def,0.000000
random_def,mlp_out,3,A_doc,0.000000
random_def,mlp_out,3,B_doc,0.000000
random_def,mlp_out,3,END,0.000000
random_answer,resid_pre,0,A_def,0.000000
random_answer,resid_pre,0,B_def,0.000000
random_answer,resid_pre,0,comma_B,0.000000
random_answer,resid_pre,0,C_def,1.000000
random_answer,resid_pre,0,A_doc,0.000000
random_answer,resid_pre,0,B_doc,0.000000
random_answer,resid_pre,0,END,0.000000
random_answer,resid_pre,1,A_def,0.000000
random_answer,resid_pre,1,B_def,0.000000
random_answer,resid_pre,1,comma_B,0.000000
random_answer,resid_pre,1,C_def,0.990269
random_answer,resid_pre,1,A_doc,0.000331
random_answer,resid_pre,1,B_doc,0.000453
random_answer,resid_pre,1,END,0.001550
random_answer,resid_pre,2,A_def,0.000000
random_answer,resid_pre,2,B_def,0.000000
random_answer,resid_pre,2,comma_B,0.000000
random_answer,resid_pre,2,C_def,0.970607
