corruption,component,layer,position,effect,published_mlp
yy01,mlp_out,1,END,-0.000864,
yy01,mlp_out,2,NOUN,0.000000,
yy01,mlp_out,2,XX1,0.000000,
yy01,mlp_out,2,YY,0.033559,
yy01,mlp_out,2,YY+1,0.000115,
yy01,mlp_out,2,END,-0.003084,
yy01,mlp_out,3,NOUN,0.000000,
yy01,mlp_out,3,XX1,0.000000,
yy01,mlp_out,3,YY,0.021270,
yy01,mlp_out,3,YY+1,0.002049,
yy01,mlp_out,3,END,0.004915,
yy01,mlp_out,4,NOUN,0.000000,
yy01,mlp_out,4,XX1,0.000000,
yy01,mlp_out,4,YY,0.005283,
yy01,mlp_out,4,YY+1,-0.001924,
yy01,mlp_out,4,END,-0.009195,
yy01,mlp_out,5,NOUN,0.000000,
yy01,mlp_out,5,XX1,0.000000,
yy01,mlp_out,5,YY,-0.032545,
yy01,mlp_out,5,YY+1,0.001808,
yy01,mlp_out,5,END,-0.009404,
yy01,mlp_out,6,NOUN,0.000000,
yy01,mlp_out,6,XX1,0.000000,
yy01,mlp_out,6,YY,0.007083,
yy01,mlp_out,6,YY+1,-0.004942,
yy01,mlp_out,6,END,0.033699,
yy01,mlp_out,7,NOUN,0.000000,
yy01,mlp_out,7,XX1,0.000000,
yy01,mlp_out,7,YY,-0.020006,
yy01,mlp_out,7,YY+1,-0.001361,
yy01,mlp_out,7,END,0.027945,
yy01,mlp_out,8,NOUN,0.000000,yes
yy01,mlp_out,8,XX1,0.000000,yes
yy01,mlp_out,8,YY,-0.004165,yes
yy01,mlp_out,8,YY+1,0.000273,yes
yy01,mlp_out,8,END,0.185920,yes
yy01,mlp_out,9,NOUN,0.000000,yes
yy01,mlp_out,9,XX1,0.000000,yes
yy01,mlp_out,9,YY,0.001235,yes
yy01,mlp_out,9,YY+1,0.000001,yes
yy01,mlp_out,9,END,0.486215,yes
yy01,mlp_out,10,NOUN,0.000000,yes
yy01,mlp_out,10,XX1,0.000000,yes
yy01,mlp_out,10,YY,-0.000158,yes
yy01,mlp_out,10,YY+1,-0.000211,yes
yy01,mlp_out,10,END,0.535101,yes
yy01,mlp_out,11,NOUN,0.000000,yes
yy01,mlp_out,11,XX1,0.000000,yes
yy01,mlp_out,11,YY,0.000000,yes
yy01,mlp_out,11,YY+1,0.000000,yes
yy01,mlp_out,11,END,0.130596,yes
random_vocab_yy,resid_pre,0,NOUN,0.000000,
random_vocab_yy,resid_pre,0,XX1,0.000000,
random_vocab_yy,resid_pre,0,YY,1.000000,
random_vocab_yy,resid_pre,0,YY+1,0.000000,
