layer,head,position,path_effect,published_class
0,0,S1+1,0.000000,
0,1,S1+1,0.000000,duplicate token
0,2,S1+1,0.000000,
0,3,S1+1,0.000000,
0,4,S1+1,0.000000,
0,5,S1+1,0.000000,
0,6,S1+1,0.000000,
0,7,S1+1,0.000000,
0,8,S1+1,0.000000,
0,9,S1+1,0.000000,
0,10,S1+1,0.000000,duplicate token
0,11,S1+1,0.000000,
1,0,S1+1,0.000000,
1,1,S1+1,0.000000,
1,2,S1+1,0.000000,
1,3,S1+1,0.000000,
1,4,S1+1,0.000000,
1,5,S1+1,0.000000,
1,6,S1+1,0.000000,
1,7,S1+1,0.000000,
1,8,S1+1,0.000000,
1,9,S1+1,0.000000,
1,10,S1+1,0.000000,
1,11,S1+1,0.000000,
2,0,S1+1,0.000000,
2,1,S1+1,0.000000,
2,2,S1+1,0.000000,previous token
2,3,S1+1,0.000000,
2,4,S1+1,0.000000,
2,5,S1+1,0.000000,
2,6,S1+1,0.000000,
2,7,S1+1,0.000000,
2,8,S1+1,0.000000,
2,9,S1+1,0.000000,
2,10,S1+1,0.000000,
2,11,S1+1,0.000000,
