corruption,metric,layer,head,position,effect,published_class
random_random,logit_diff,0,0,A_def,0.002728,
random_random,logit_diff,0,0,B_def,0.003052,
random_random,logit_diff,0,0,comma_B,0.000169,
random_random,logit_diff,0,0,C_def,0.047643,
random_random,logit_diff,0,0,A_doc,0.000467,
random_random,logit_diff,0,0,B_doc,0.005655,
random_random,logit_diff,0,0,END,-0.000012,
random_random,logit_diff,0,1,A_def,0.009619,
random_random,logit_diff,0,1,B_def,0.013236,
random_random,logit_diff,0,1,comma_B,-0.000004,
random_random,logit_diff,0,1,C_def,0.028231,
random_random,logit_diff,0,1,A_doc,-0.006490,
random_random,logit_diff,0,1,B_doc,-0.022800,
random_random,logit_diff,0,1,END,-0.000077,
random_random,logit_diff,0,2,A_def,0.000047,
random_random,logit_diff,0,2,B_def,-0.001288,
random_random,logit_diff,0,2,comma_B,0.000780,
random_random,logit_diff,0,2,C_def,0.002293,
random_random,logit_diff,0,2,A_doc,0.000386,
random_random,logit_diff,0,2,B_doc,0.003029,
random_random,logit_diff,0,2,END,0.000303,
random_random,logit_diff,0,3,A_def,0.001805,
random_random,logit_diff,0,3,B_def,0.001303,
random_random,logit_diff,0,3,comma_B,0.000052,
random_random,logit_diff,0,3,C_def,0.000404,
random_random,logit_diff,0,3,A_doc,-0.000552,
random_random,logit_diff,0,3,B_doc,-0.000097,
random_random,logit_diff,0,3,END,0.000154,
random_random,logit_diff,0,4,A_def,-0.000032,
random_random,logit_diff,0,4,B_def,0.000197,
random_random,logit_diff,0,4,comma_B,-0.000957,
random_random,logit_diff,0,4,C_def,0.000240,
random_random,logit_diff,0,4,A_doc,0.000195,
random_random,logit_diff,0,4,B_doc,0.000890,
random_random,logit_diff,0,4,END,0.001055,
random_random,logit_diff,0,5,A_def,0.013968,duplicate token
random_random,logit_diff,0,5,B_def,0.024740,duplicate token
random_random,logit_diff,0,5,comma_B,-0.000005,duplicate token
random_random,logit_diff,0,5,C_def,0.088846,duplicate token
random_random,logit_diff,0,5,A_doc,0.005403,duplicate token
random_random,logit_diff,0,5,B_doc,0.031194,duplicate token
random_random,logit_diff,0,5,END,-0.000033,duplicate token
random_random,logit_diff,0,6,A_def,-0.001449,
random_random,logit_diff,0,6,B_def,-0.000412,
random_random,logit_diff,0,6,comma_B,-0.000027,
random_random,logit_diff,0,6,C_def,0.002265,
random_random,logit_diff,0,6,A_doc,-0.000912,
random_random,logit_diff,0,6,B_doc,-0.000035,
random_random,logit_diff,0,6,END,-0.000335,
random_random,logit_diff,0,7,A_def,-0.002168,
random_random,logit_diff,0,7,B_def,0.002597,
random_random,logit_diff,0,7,comma_B,0.000072,
random_random,logit_diff,0,7,C_def,0.004526,
random_random,logit_diff,0,7,A_doc,0.000606,
random_random,logit_diff,0,7,B_doc,0.000008,
random_random,logit_diff,0,7,END,0.000050,
random_random,logit_diff,1,0,A_def,-0.001027,
random_random,logit_diff,1,0,B_def,0.001573,
random_random,logit_diff,1,0,comma_B,0.002425,
random_random,logit_diff,1,0,C_def,0.009206,
random_random,logit_diff,1,0,A_doc,0.000257,
random_random,logit_diff,1,0,B_doc,0.000100,
random_random,logit_diff,1,0,END,-0.000031,
random_random,logit_diff,1,1,A_def,-0.001699,
random_random,logit_diff,1,1,B_def,0.003610,
random_random,logit_diff,1,1,comma_B,-0.000456,
random_random,logit_diff,1,1,C_def,0.001594,
random_random,logit_diff,1,1,A_doc,0.000139,
random_random,logit_diff,1,1,B_doc,0.000917,
random_random,logit_diff,1,1,END,0.000785,
