group,scheme,position,layer,head,path_signal,published_class
previous-token probe (receivers layer >= 6),abc,S1+1,1,1,0.004289,
previous-token probe (receivers layer >= 6),abc,S1+1,1,2,0.000623,
previous-token probe (receivers layer >= 6),abc,S1+1,1,3,0.000328,
previous-token probe (receivers layer >= 6),abc,S1+1,1,4,0.003366,
previous-token probe (receivers layer >= 6),abc,S1+1,1,5,0.001546,
previous-token probe (receivers layer >= 6),abc,S1+1,1,6,0.000556,
previous-token probe (receivers layer >= 6),abc,S1+1,1,7,0.002266,
previous-token probe (receivers layer >= 6),abc,S1+1,1,8,0.000034,
previous-token probe (receivers layer >= 6),abc,S1+1,1,9,0.000024,
previous-token probe (receivers layer >= 6),abc,S1+1,1,10,-0.000953,
previous-token probe (receivers layer >= 6),abc,S1+1,1,11,-0.005416,
previous-token probe (receivers layer >= 6),abc,S1+1,2,0,0.004995,
previous-token probe (receivers layer >= 6),abc,S1+1,2,1,0.001730,
previous-token probe (receivers layer >= 6),abc,S1+1,2,2,0.187214,previous token
previous-token probe (receivers layer >= 6),abc,S1+1,2,3,0.008262,
previous-token probe (receivers layer >= 6),abc,S1+1,2,4,0.018246,
previous-token probe (receivers layer >= 6),abc,S1+1,2,5,0.002075,
previous-token probe (receivers layer >= 6),abc,S1+1,2,6,0.000128,
previous-token probe (receivers layer >= 6),abc,S1+1,2,7,-0.003179,
previous-token probe (receivers layer >= 6),abc,S1+1,2,8,0.001032,
previous-token probe (receivers layer >= 6),abc,S1+1,2,9,0.091604,
previous-token probe (receivers layer >= 6),abc,S1+1,2,10,-0.003065,
previous-token probe (receivers layer >= 6),abc,S1+1,2,11,-0.001683,
previous-token probe (receivers layer >= 6),abc,S1+1,3,0,-0.000039,duplicate token
previous-token probe (receivers layer >= 6),abc,S1+1,3,1,0.000372,
previous-token probe (receivers layer >= 6),abc,S1+1,3,2,0.005745,
previous-token probe (receivers layer >= 6),abc,S1+1,3,3,0.063118,
previous-token probe (receivers layer >= 6),abc,S1+1,3,4,-0.002264,
previous-token probe (receivers layer >= 6),abc,S1+1,3,5,0.004964,
previous-token probe (receivers layer >= 6),abc,S1+1,3,6,0.060681,
previous-token probe (receivers layer >= 6),abc,S1+1,3,7,0.107368,
previous-token probe (receivers layer >= 6),abc,S1+1,3,8,0.001701,
previous-token probe (receivers layer >= 6),abc,S1+1,3,9,0.000582,
previous-token probe (receivers layer >= 6),abc,S1+1,3,10,-0.047318,
previous-token probe (receivers layer >= 6),abc,S1+1,3,11,-0.000123,
previous-token probe (receivers layer >= 6),abc,S1+1,4,0,0.004196,
previous-token probe (receivers layer >= 6),abc,S1+1,4,1,0.001587,
previous-token probe (receivers layer >= 6),abc,S1+1,4,2,0.000263,
previous-token probe (receivers layer >= 6),abc,S1+1,4,3,0.095998,
previous-token probe (receivers layer >= 6),abc,S1+1,4,4,-0.019300,
previous-token probe (receivers layer >= 6),abc,S1+1,4,5,0.000651,
previous-token probe (receivers layer >= 6),abc,S1+1,4,6,0.010575,
previous-token probe (receivers layer >= 6),abc,S1+1,4,7,-0.173726,
previous-token probe (receivers layer >= 6),abc,S1+1,4,8,0.000333,
previous-token probe (receivers layer >= 6),abc,S1+1,4,9,0.001839,
previous-token probe (receivers layer >= 6),abc,S1+1,4,10,-0.000244,
previous-token probe (receivers layer >= 6),abc,S1+1,4,11,0.344133,previous token
previous-token probe (receivers layer >= 6),abc,S1+1,5,0,0.000279,
previous-token probe (receivers layer >= 6),abc,S1+1,5,1,-0.000028,
previous-token probe (receivers layer >= 6),abc,S1+1,5,2,0.003975,
previous-token probe (receivers layer >= 6),abc,S1+1,5,3,0.000352,
previous-token probe (receivers layer >= 6),abc,S1+1,5,4,-0.000629,
previous-token probe (receivers layer >= 6),abc,S1+1,5,5,0.000229,induction
previous-token probe (receivers layer >= 6),abc,S1+1,5,6,0.130116,
previous-token probe (receivers layer >= 6),abc,S1+1,5,7,0.000412,
previous-token probe (receivers layer >= 6),abc,S1+1,5,8,0.000649,induction
previous-token probe (receivers layer >= 6),abc,S1+1,5,9,-0.001792,induction
previous-token probe (receivers layer >= 6),abc,S1+1,5,10,0.008867,
previous-token probe (receivers layer >= 6),abc,S1+1,5,11,-0.012703,
