corruption,metric,layer,head,position,effect,published_class
yy01,logit_diff,1,11,NOUN,0.000000,
yy01,logit_diff,1,11,XX1,0.000000,
yy01,logit_diff,1,11,YY,-0.005995,
yy01,logit_diff,1,11,YY+1,-0.000192,
yy01,logit_diff,1,11,END,0.000421,
yy01,logit_diff,2,0,NOUN,0.000000,
yy01,logit_diff,2,0,XX1,0.000000,
yy01,logit_diff,2,0,YY,-0.000270,
yy01,logit_diff,2,0,YY+1,0.000137,
yy01,logit_diff,2,0,END,-0.000350,
yy01,logit_diff,2,1,NOUN,0.000000,
yy01,logit_diff,2,1,XX1,0.000000,
yy01,logit_diff,2,1,YY,0.001335,
yy01,logit_diff,2,1,YY+1,-0.000002,
yy01,logit_diff,2,1,END,-0.000274,
yy01,logit_diff,2,2,NOUN,0.000000,
yy01,logit_diff,2,2,XX1,0.000000,
yy01,logit_diff,2,2,YY,-0.000088,
yy01,logit_diff,2,2,YY+1,0.000787,
yy01,logit_diff,2,2,END,-0.000178,
yy01,logit_diff,2,3,NOUN,0.000000,
yy01,logit_diff,2,3,XX1,0.000000,
yy01,logit_diff,2,3,YY,-0.000497,
yy01,logit_diff,2,3,YY+1,-0.000001,
yy01,logit_diff,2,3,END,-0.000082,
yy01,logit_diff,2,4,NOUN,0.000000,
yy01,logit_diff,2,4,XX1,0.000000,
yy01,logit_diff,2,4,YY,0.004745,
yy01,logit_diff,2,4,YY+1,0.000039,
yy01,logit_diff,2,4,END,0.000458,
yy01,logit_diff,2,5,NOUN,0.000000,
yy01,logit_diff,2,5,XX1,0.000000,
yy01,logit_diff,2,5,YY,-0.000793,
yy01,logit_diff,2,5,YY+1,0.000461,
yy01,logit_diff,2,5,END,-0.000317,
yy01,logit_diff,2,6,NOUN,0.000000,
yy01,logit_diff,2,6,XX1,0.000000,
yy01,logit_diff,2,6,YY,-0.001012,
yy01,logit_diff,2,6,YY+1,-0.000053,
yy01,logit_diff,2,6,END,0.000038,
yy01,logit_diff,2,7,NOUN,0.000000,
yy01,logit_diff,2,7,XX1,0.000000,
yy01,logit_diff,2,7,YY,-0.001815,
yy01,logit_diff,2,7,YY+1,0.000040,
yy01,logit_diff,2,7,END,-0.000074,
yy01,logit_diff,2,8,NOUN,0.000000,
yy01,logit_diff,2,8,XX1,0.000000,
yy01,logit_diff,2,8,YY,0.000919,
yy01,logit_diff,2,8,YY+1,-0.000198,
yy01,logit_diff,2,8,END,0.000187,
yy01,logit_diff,2,9,NOUN,0.000000,
yy01,logit_diff,2,9,XX1,0.000000,
yy01,logit_diff,2,9,YY,0.002985,
yy01,logit_diff,2,9,YY+1,0.000203,
yy01,logit_diff,2,9,END,0.000272,
yy01,logit_diff,2,10,NOUN,0.000000,
yy01,logit_diff,2,10,XX1,0.000000,
yy01,logit_diff,2,10,YY,-0.000783,
yy01,logit_diff,2,10,YY+1,-0.000178,
yy01,logit_diff,2,10,END,-0.000044,
yy01,logit_diff,2,11,NOUN,0.000000,
yy01,logit_diff,2,11,XX1,0.000000,
yy01,logit_diff,2,11,YY,0.000067,
yy01,logit_diff,2,11,YY+1,-0.000262,
yy01,logit_diff,2,11,END,-0.000425,
yy01,logit_diff,3,0,NOUN,0.000000,
yy01,logit_diff,3,0,XX1,0.000000,
yy01,logit_diff,3,0,YY,0.000962,
yy01,logit_diff,3,0,YY+1,-0.000003,
yy01,logit_diff,3,0,END,-0.000084,
yy01,logit_diff,3,1,NOUN,0.000000,
yy01,logit_diff,3,1,XX1,0.000000,
yy01,logit_diff,3,1,YY,0.000217,
yy01,logit_diff,3,1,YY+1,-0.000168,
yy01,logit_diff,3,1,END,0.000939,
yy01,logit_diff,3,2,NOUN,0.000000,
yy01,logit_diff,3,2,XX1,0.000000,
yy01,logit_diff,3,2,YY,0.000262,
yy01,logit_diff,3,2,YY+1,-0.000029,
yy01,logit_diff,3,2,END,-0.000433,
yy01,logit_diff,3,3,NOUN,0.000000,
yy01,logit_diff,3,3,XX1,0.000000,
yy01,logit_diff,3,3,YY,0.001750,
yy01,logit_diff,3,3,YY+1,0.001849,
yy01,logit_diff,3,3,END,0.001556,
yy01,logit_diff,3,4,NOUN,0.000000,
yy01,logit_diff,3,4,XX1,0.000000,
yy01,logit_diff,3,4,YY,-0.002397,
yy01,logit_diff,3,4,YY+1,0.000075,
yy01,logit_diff,3,4,END,0.001383,
yy01,logit_diff,3,5,NOUN,0.000000,
yy01,logit_diff,3,5,XX1,0.000000,
yy01,logit_diff,3,5,YY,0.000772,
yy01,logit_diff,3,5,YY+1,0.000355,
yy01,logit_diff,3,5,END,-0.000123,
yy01,logit_diff,3,6,NOUN,0.000000,
yy01,logit_diff,3,6,XX1,0.000000,
yy01,logit_diff,3,6,YY,0.002946,
yy01,logit_diff,3,6,YY+1,0.000938,
yy01,logit_diff,3,6,END,-0.000889,
yy01,logit_diff,3,7,NOUN,0.000000,
yy01,logit_diff,3,7,XX1,0.000000,
yy01,logit_diff,3,7,YY,0.001952,
yy01,logit_diff,3,7,YY+1,0.000080,
yy01,logit_diff,3,7,END,-0.002062,
yy01,logit_diff,3,8,NOUN,0.000000,
yy01,logit_diff,3,8,XX1,0.000000,
yy01,logit_diff,3,8,YY,-0.000524,
yy01,logit_diff,3,8,YY+1,0.000453,
yy01,logit_diff,3,8,END,-0.000065,
yy01,logit_diff,3,9,NOUN,0.000000,
yy01,logit_diff,3,9,XX1,0.000000,
yy01,logit_diff,3,9,YY,0.006050,
yy01,logit_diff,3,9,YY+1,-0.000215,
yy01,logit_diff,3,9,END,0.001075,
yy01,logit_diff,3,10,NOUN,0.000000,
yy01,logit_diff,3,10,XX1,0.000000,
yy01,logit_diff,3,10,YY,-0.002284,
yy01,logit_diff,3,10,YY+1,-0.000547,
yy01,logit_diff,3,10,END,0.000019,
yy01,logit_diff,3,11,NOUN,0.000000,
yy01,logit_diff,3,11,XX1,0.000000,
yy01,logit_diff,3,11,YY,-0.000357,
yy01,logit_diff,3,11,YY+1,-0.000069,
yy01,logit_diff,3,11,END,0.000177,
yy01,logit_diff,4,0,NOUN,0.000000,
yy01,logit_diff,4,0,XX1,0.000000,
yy01,logit_diff,4,0,YY,-0.001371,
yy01,logit_diff,4,0,YY+1,0.000053,
yy01,logit_diff,4,0,END,-0.000118,
yy01,logit_diff,4,1,NOUN,0.000000,
yy01,logit_diff,4,1,XX1,0.000000,
yy01,logit_diff,4,1,YY,0.001493,
yy01,logit_diff,4,1,YY+1,-0.000463,
yy01,logit_diff,4,1,END,-0.001608,
yy01,logit_diff,4,2,NOUN,0.000000,
yy01,logit_diff,4,2,XX1,0.000000,
yy01,logit_diff,4,2,YY,-0.000254,
yy01,logit_diff,4,2,YY+1,-0.000027,
yy01,logit_diff,4,2,END,-0.000124,
yy01,logit_diff,4,3,NOUN,0.000000,
yy01,logit_diff,4,3,XX1,0.000000,
yy01,logit_diff,4,3,YY,-0.000428,
yy01,logit_diff,4,3,YY+1,0.000260,
yy01,logit_diff,4,3,END,-0.002576,
yy01,logit_diff,4,4,NOUN,0.000000,
yy01,logit_diff,4,4,XX1,0.000000,
yy01,logit_diff,4,4,YY,-0.003517,
yy01,logit_diff,4,4,YY+1,0.000049,
yy01,logit_diff,4,4,END,0.000052,
yy01,logit_diff,4,5,NOUN,0.000000,
yy01,logit_diff,4,5,XX1,0.000000,
yy01,logit_diff,4,5,YY,0.000368,
yy01,logit_diff,4,5,YY+1,0.000040,
yy01,logit_diff,4,5,END,-0.000583,
yy01,logit_diff,4,6,NOUN,0.000000,
yy01,logit_diff,4,6,XX1,0.000000,
yy01,logit_diff,4,6,YY,-0.002922,
yy01,logit_diff,4,6,YY+1,-0.000035,
yy01,logit_diff,4,6,END,-0.000445,
yy01,logit_diff,4,7,NOUN,0.000000,
yy01,logit_diff,4,7,XX1,0.000000,
yy01,logit_diff,4,7,YY,-0.005120,
yy01,logit_diff,4,7,YY+1,-0.000721,
yy01,logit_diff,4,7,END,-0.001278,
yy01,logit_diff,4,8,NOUN,0.000000,
yy01,logit_diff,4,8,XX1,0.000000,
yy01,logit_diff,4,8,YY,0.006245,
yy01,logit_diff,4,8,YY+1,0.000000,
yy01,logit_diff,4,8,END,0.002752,
yy01,logit_diff,4,9,NOUN,0.000000,
yy01,logit_diff,4,9,XX1,0.000000,
yy01,logit_diff,4,9,YY,0.000940,
yy01,logit_diff,4,9,YY+1,0.000301,
yy01,logit_diff,4,9,END,0.000027,
yy01,logit_diff,4,10,NOUN,0.000000,
yy01,logit_diff,4,10,XX1,0.000000,
yy01,logit_diff,4,10,YY,-0.007147,
yy01,logit_diff,4,10,YY+1,-0.000250,
yy01,logit_diff,4,10,END,0.000838,
yy01,logit_diff,4,11,NOUN,0.000000,
yy01,logit_diff,4,11,XX1,0.000000,
yy01,logit_diff,4,11,YY,0.000011,
yy01,logit_diff,4,11,YY+1,0.001914,
yy01,logit_diff,4,11,END,0.000138,
yy01,logit_diff,5,0,NOUN,0.000000,
yy01,logit_diff,5,0,XX1,0.000000,
yy01,logit_diff,5,0,YY,-0.000050,
yy01,logit_diff,5,0,YY+1,0.000018,
yy01,logit_diff,5,0,END,-0.001107,
yy01,logit_diff,5,1,NOUN,0.000000,year head -> MLP 8
yy01,logit_diff,5,1,XX1,0.000000,year head -> MLP 8
yy01,logit_diff,5,1,YY,-0.000003,year head -> MLP 8
yy01,logit_diff,5,1,YY+1,0.000007,year head -> MLP 8
yy01,logit_diff,5,1,END,0.055836,year head -> MLP 8
yy01,logit_diff,5,2,NOUN,0.000000,
yy01,logit_diff,5,2,XX1,0.000000,
yy01,logit_diff,5,2,YY,0.000330,
yy01,logit_diff,5,2,YY+1,0.000381,
yy01,logit_diff,5,2,END,0.000471,
yy01,logit_diff,5,3,NOUN,0.000000,
yy01,logit_diff,5,3,XX1,0.000000,
yy01,logit_diff,5,3,YY,-0.000449,
yy01,logit_diff,5,3,YY+1,0.000020,
yy01,logit_diff,5,3,END,0.000275,
