head,status,published_class,top_spec_yy01,top_spec_xx_mismatch,top_spec_random_vocab_yy,top_spec_random_vocab_any
7.8,scheme-dependent,,q@YY,v@END,v@YY,v@END
7.9,scheme-dependent,,v@YY,q@END,v@YY,q@END
7.10,scheme-dependent,year head -> MLP 8,v@YY,q@END,v@YY,q@END
7.11,scheme-dependent,,v@YY,q@END,v@YY,k@YY
8.0,scheme-dependent,,k@END,q@END,q@END,q@END
8.1,scheme-dependent,,v@YY,v@YY,v@YY,k@YY
8.2,scheme-dependent,,q@END,q@END,v@YY,q@YY
8.3,scheme-dependent,,q@END,q@END,v@YY,k@YY
8.4,robust,,q@END,q@END,q@END,q@END
8.5,robust,,q@END,q@END,q@END,q@END
8.6,scheme-dependent,,k@YY,v@YY,v@YY,v@YY
8.7,scheme-dependent,,q@END,q@END,v@YY+1,q@END
8.8,scheme-dependent,year head -> MLP 8,v@YY,q@END,v@YY,q@END
8.9,scheme-dependent,,q@END,q@END,q@END,v@END
8.10,scheme-dependent,,v@YY,q@END,v@YY,v@END
8.11,scheme-dependent,year head -> MLP 8,v@YY,q@END,q@END,v@YY
9.0,scheme-dependent,,q@YY,q@END,q@END,q@END
9.1,scheme-dependent,year head -> MLP 9,v@YY,q@END,k@YY,k@YY
9.2,scheme-dependent,,v@YY,q@END,v@YY,q@END
9.3,robust,,q@END,q@END,q@END,q@END
9.4,scheme-dependent,,v@YY,v@END,v@END,v@END
9.5,scheme-dependent,,v@END,v@END,v@YY,q@END
9.6,scheme-dependent,,q@END,v@YY,q@END,k@YY
9.7,scheme-dependent,,q@END,v@END,v@YY,q@END
9.8,scheme-dependent,,q@END,q@END,v@YY,q@END
9.9,scheme-dependent,,v@YY,q@END,v@YY,q@END
9.10,scheme-dependent,,q@YY,q@END,q@END,q@END
9.11,scheme-dependent,,v@YY,q@END,v@YY,v@YY
10.0,robust,,q@END,q@END,q@END,q@END
10.1,scheme-dependent,,v@YY,k@YY,v@YY,q@END
10.2,scheme-dependent,,v@YY,q@END,v@YY,k@YY
10.3,scheme-dependent,,q@END,q@END,v@YY,q@END
10.4,robust,,q@END,q@END,q@END,q@END
10.5,scheme-dependent,,v@END,q@END,q@END,q@END
10.6,scheme-dependent,,v@YY,q@END,v@YY,q@END
10.7,scheme-dependent,,v@YY,q@END,v@YY,q@END
10.8,scheme-dependent,,q@END,q@END,v@YY,q@END
10.9,scheme-dependent,,q@END,q@END,q@END,v@END
10.10,scheme-dependent,,q@END,q@END,k@YY,q@END
10.11,robust,,q@END,q@END,q@END,q@END
11.0,scheme-dependent,,v@END,v@END,q@END,q@END
11.1,scheme-dependent,,v@YY,q@END,q@END,q@END
11.2,scheme-dependent,,v@YY,q@END,v@YY,q@END
11.3,scheme-dependent,,q@END,q@END,v@YY,v@YY
11.4,scheme-dependent,,q@END,q@END,v@YY,v@XX1
11.5,robust,,q@END,q@END,q@END,q@END
11.6,scheme-dependent,,v@YY,q@END,v@YY,q@END
11.7,scheme-dependent,,q@END,q@END,v@YY,v@XX1
11.8,scheme-dependent,,v@END,v@END,q@END,v@END
11.9,scheme-dependent,,q@END,k@END,v@YY,v@XX1
11.10,scheme-dependent,,v@END,v@END,v@YY,v@END
11.11,scheme-dependent,,q@END,q@END,v@YY,v@END
