corruption,metric,layer,head,effect,published_class
s2_swap,logit_diff,11,4,-0.000107,
s2_swap,logit_diff,11,5,0.000016,
s2_swap,logit_diff,11,6,-0.016169,
s2_swap,logit_diff,11,7,0.002642,
s2_swap,logit_diff,11,8,0.006249,
s2_swap,logit_diff,11,9,0.002368,backup name mover
s2_swap,logit_diff,11,10,-0.268884,negative name mover
s2_swap,logit_diff,11,11,0.004770,
s2_swap,kl,0,0,-0.000035,
s2_swap,kl,0,1,0.030040,duplicate token
s2_swap,kl,0,2,-0.001075,
s2_swap,kl,0,3,0.009720,
s2_swap,kl,0,4,0.003791,
s2_swap,kl,0,5,0.005265,
s2_swap,kl,0,6,-0.003881,
s2_swap,kl,0,7,-0.001245,
s2_swap,kl,0,8,-0.001334,
s2_swap,kl,0,9,-0.001668,
s2_swap,kl,0,10,0.001600,duplicate token
s2_swap,kl,0,11,-0.000340,
s2_swap,kl,1,0,-0.001074,
s2_swap,kl,1,1,-0.000439,
s2_swap,kl,1,2,0.000393,
s2_swap,kl,1,3,-0.000535,
s2_swap,kl,1,4,-0.000315,
s2_swap,kl,1,5,0.008667,
s2_swap,kl,1,6,-0.001998,
s2_swap,kl,1,7,-0.000362,
s2_swap,kl,1,8,0.000305,
s2_swap,kl,1,9,-0.000145,
s2_swap,kl,1,10,-0.000250,
s2_swap,kl,1,11,0.004416,
s2_swap,kl,2,0,0.000246,
s2_swap,kl,2,1,-0.001388,
s2_swap,kl,2,2,0.002581,previous token
s2_swap,kl,2,3,-0.001003,
s2_swap,kl,2,4,-0.000306,
s2_swap,kl,2,5,-0.000483,
s2_swap,kl,2,6,-0.000883,
s2_swap,kl,2,7,0.000849,
s2_swap,kl,2,8,-0.000174,
s2_swap,kl,2,9,-0.001156,
s2_swap,kl,2,10,-0.000528,
s2_swap,kl,2,11,-0.001736,
s2_swap,kl,3,0,0.230259,duplicate token
s2_swap,kl,3,1,-0.000246,
s2_swap,kl,3,2,0.000731,
s2_swap,kl,3,3,0.000121,
s2_swap,kl,3,4,0.046468,
s2_swap,kl,3,5,-0.006237,
s2_swap,kl,3,6,0.008416,
s2_swap,kl,3,7,-0.001004,
s2_swap,kl,3,8,-0.000383,
s2_swap,kl,3,9,-0.000304,
s2_swap,kl,3,10,0.000329,
s2_swap,kl,3,11,-0.000598,
s2_swap,kl,4,0,-0.000454,
s2_swap,kl,4,1,0.000485,
s2_swap,kl,4,2,-0.000531,
s2_swap,kl,4,3,0.043173,
s2_swap,kl,4,4,-0.010455,
s2_swap,kl,4,5,-0.001578,
s2_swap,kl,4,6,0.002287,
s2_swap,kl,4,7,-0.003083,
s2_swap,kl,4,8,0.001873,
s2_swap,kl,4,9,-0.000253,
s2_swap,kl,4,10,0.000402,
s2_swap,kl,4,11,0.002871,previous token
s2_swap,kl,5,0,-0.008196,
s2_swap,kl,5,1,0.003634,
s2_swap,kl,5,2,0.001889,
s2_swap,kl,5,3,-0.000492,
s2_swap,kl,5,4,0.000407,
s2_swap,kl,5,5,0.544449,induction
s2_swap,kl,5,6,0.000565,
s2_swap,kl,5,7,-0.000598,
s2_swap,kl,5,8,-0.021559,induction
s2_swap,kl,5,9,0.097064,induction
s2_swap,kl,5,10,0.014113,
s2_swap,kl,5,11,-0.004232,
s2_swap,kl,6,0,0.059309,
s2_swap,kl,6,1,0.023106,
s2_swap,kl,6,2,-0.001371,
s2_swap,kl,6,3,-0.002702,
s2_swap,kl,6,4,-0.007665,
s2_swap,kl,6,5,-0.002895,
s2_swap,kl,6,6,-0.046909,
s2_swap,kl,6,7,0.003101,
s2_swap,kl,6,8,0.001322,
s2_swap,kl,6,9,0.177635,induction
s2_swap,kl,6,10,-0.003507,
s2_swap,kl,6,11,0.001342,
s2_swap,kl,7,0,0.000592,
s2_swap,kl,7,1,0.029702,
s2_swap,kl,7,2,0.001137,
s2_swap,kl,7,3,0.232883,s-inhibition
s2_swap,kl,7,4,-0.000311,
s2_swap,kl,7,5,-0.016895,
s2_swap,kl,7,6,0.004424,
s2_swap,kl,7,7,-0.001615,
s2_swap,kl,7,8,-0.013837,
s2_swap,kl,7,9,0.363401,s-inhibition
s2_swap,kl,7,10,0.001233,
s2_swap,kl,7,11,-0.002119,
s2_swap,kl,8,0,-0.002038,
s2_swap,kl,8,1,0.000584,
s2_swap,kl,8,2,-0.012575,
s2_swap,kl,8,3,0.022241,
s2_swap,kl,8,4,-0.000513,
s2_swap,kl,8,5,-0.008347,
s2_swap,kl,8,6,0.482410,s-inhibition
s2_swap,kl,8,7,0.008613,
s2_swap,kl,8,8,-0.001502,
s2_swap,kl,8,9,0.000511,
s2_swap,kl,8,10,0.466678,s-inhibition
s2_swap,kl,8,11,0.004733,
s2_swap,kl,9,0,0.003019,backup name mover
s2_swap,kl,9,1,-0.002147,
s2_swap,kl,9,2,0.014670,
s2_swap,kl,9,3,0.057573,
s2_swap,kl,9,4,-0.056886,
s2_swap,kl,9,5,0.029655,
s2_swap,kl,9,6,-0.117797,name mover
s2_swap,kl,9,7,0.189049,backup name mover
s2_swap,kl,9,8,-0.002574,
s2_swap,kl,9,9,0.352798,name mover
s2_swap,kl,9,10,0.001006,
s2_swap,kl,9,11,-0.001053,
s2_swap,kl,10,0,0.201831,name mover
s2_swap,kl,10,1,0.059431,backup name mover
s2_swap,kl,10,2,0.028136,backup name mover
s2_swap,kl,10,3,0.010736,
s2_swap,kl,10,4,-0.000230,
s2_swap,kl,10,5,0.000866,
s2_swap,kl,10,6,0.108006,backup name mover
s2_swap,kl,10,7,-1.010922,negative name mover
s2_swap,kl,10,8,-0.000578,
s2_swap,kl,10,9,0.024626,
s2_swap,kl,10,10,0.111441,backup name mover
s2_swap,kl,10,11,0.005377,
s2_swap,kl,11,0,0.005681,
s2_swap,kl,11,1,-0.008630,
s2_swap,kl,11,2,-0.210788,backup name mover
s2_swap,kl,11,3,0.015119,
s2_swap,kl,11,4,-0.000926,
s2_swap,kl,11,5,-0.000213,
s2_swap,kl,11,6,-0.029051,
s2_swap,kl,11,7,0.006370,
s2_swap,kl,11,8,0.011172,
s2_swap,kl,11,9,0.003372,backup name mover
s2_swap,kl,11,10,-0.587494,negative name mover
s2_swap,kl,11,11,0.008909,
s2_swap,tv,0,0,0.000049,
s2_swap,tv,0,1,0.008866,duplicate token
s2_swap,tv,0,2,-0.000222,
s2_swap,tv,0,3,0.001242,
s2_swap,tv,0,4,0.001170,
s2_swap,tv,0,5,0.001395,
s2_swap,tv,0,6,-0.000746,
s2_swap,tv,0,7,-0.000851,
s2_swap,tv,0,8,-0.000106,
s2_swap,tv,0,9,-0.000560,
s2_swap,tv,0,10,-0.001219,duplicate token
s2_swap,tv,0,11,-0.000164,
s2_swap,tv,1,0,-0.000621,
s2_swap,tv,1,1,-0.000149,
s2_swap,tv,1,2,0.000081,
s2_swap,tv,1,3,-0.000245,
s2_swap,tv,1,4,-0.000123,
s2_swap,tv,1,5,0.002624,
s2_swap,tv,1,6,-0.000690,
s2_swap,tv,1,7,-0.000165,
s2_swap,tv,1,8,0.000161,
s2_swap,tv,1,9,-0.000029,
s2_swap,tv,1,10,-0.000046,
s2_swap,tv,1,11,0.001672,
s2_swap,tv,2,0,0.000217,
s2_swap,tv,2,1,-0.000718,
s2_swap,tv,2,2,-0.000282,previous token
s2_swap,tv,2,3,-0.000234,
s2_swap,tv,2,4,-0.000071,
s2_swap,tv,2,5,-0.000173,
s2_swap,tv,2,6,-0.000664,
s2_swap,tv,2,7,0.000100,
s2_swap,tv,2,8,-0.000112,
s2_swap,tv,2,9,-0.000431,
s2_swap,tv,2,10,0.000496,
s2_swap,tv,2,11,-0.001101,
s2_swap,tv,3,0,0.077855,duplicate token
s2_swap,tv,3,1,-0.000048,
s2_swap,tv,3,2,-0.000315,
s2_swap,tv,3,3,-0.000135,
s2_swap,tv,3,4,0.014667,
s2_swap,tv,3,5,-0.001766,
s2_swap,tv,3,6,0.002118,
s2_swap,tv,3,7,-0.000459,
s2_swap,tv,3,8,-0.000054,
s2_swap,tv,3,9,-0.000138,
s2_swap,tv,3,10,0.000755,
s2_swap,tv,3,11,-0.000170,
s2_swap,tv,4,0,-0.000614,
s2_swap,tv,4,1,-0.000073,
s2_swap,tv,4,2,-0.000146,
s2_swap,tv,4,3,0.013792,
s2_swap,tv,4,4,-0.001995,
s2_swap,tv,4,5,-0.000423,
s2_swap,tv,4,6,0.000203,
s2_swap,tv,4,7,-0.000894,
s2_swap,tv,4,8,0.001343,
s2_swap,tv,4,9,-0.000124,
s2_swap,tv,4,10,0.000234,
s2_swap,tv,4,11,0.001581,previous token
s2_swap,tv,5,0,-0.001315,
s2_swap,tv,5,1,0.001287,
s2_swap,tv,5,2,0.000591,
s2_swap,tv,5,3,-0.000090,
s2_swap,tv,5,4,0.000297,
s2_swap,tv,5,5,0.231256,induction
s2_swap,tv,5,6,0.000276,
s2_swap,tv,5,7,-0.000067,
s2_swap,tv,5,8,-0.003188,induction
s2_swap,tv,5,9,0.022414,induction
s2_swap,tv,5,10,0.003815,
s2_swap,tv,5,11,-0.000796,
s2_swap,tv,6,0,0.015987,
s2_swap,tv,6,1,0.007173,
s2_swap,tv,6,2,0.000903,
s2_swap,tv,6,3,-0.001164,
s2_swap,tv,6,4,-0.001675,
s2_swap,tv,6,5,-0.000676,
s2_swap,tv,6,6,-0.011334,
s2_swap,tv,6,7,0.000801,
s2_swap,tv,6,8,0.000383,
s2_swap,tv,6,9,0.048411,induction
s2_swap,tv,6,10,-0.000930,
s2_swap,tv,6,11,0.000259,
s2_swap,tv,7,0,0.000133,
s2_swap,tv,7,1,0.006354,
s2_swap,tv,7,2,0.000295,
s2_swap,tv,7,3,0.069838,s-inhibition
s2_swap,tv,7,4,-0.000277,
s2_swap,tv,7,5,-0.005577,
s2_swap,tv,7,6,0.000972,
s2_swap,tv,7,7,-0.000273,
s2_swap,tv,7,8,-0.004095,
s2_swap,tv,7,9,0.120716,s-inhibition
s2_swap,tv,7,10,0.000207,
s2_swap,tv,7,11,-0.001005,
s2_swap,tv,8,0,-0.000568,
s2_swap,tv,8,1,0.000153,
s2_swap,tv,8,2,-0.002464,
s2_swap,tv,8,3,0.004941,
s2_swap,tv,8,4,-0.000317,
s2_swap,tv,8,5,0.000952,
s2_swap,tv,8,6,0.175008,s-inhibition
s2_swap,tv,8,7,0.002434,
s2_swap,tv,8,8,-0.000533,
s2_swap,tv,8,9,-0.000346,
s2_swap,tv,8,10,0.158067,s-inhibition
s2_swap,tv,8,11,0.000946,
s2_swap,tv,9,0,0.000927,backup name mover
s2_swap,tv,9,1,-0.000698,
s2_swap,tv,9,2,0.002319,
s2_swap,tv,9,3,0.016600,
s2_swap,tv,9,4,-0.011597,
s2_swap,tv,9,5,0.008266,
s2_swap,tv,9,6,-0.054664,name mover
s2_swap,tv,9,7,0.074538,backup name mover
s2_swap,tv,9,8,-0.002048,
s2_swap,tv,9,9,0.114941,name mover
s2_swap,tv,9,10,0.000304,
s2_swap,tv,9,11,0.000487,
s2_swap,tv,10,0,0.059873,name mover
s2_swap,tv,10,1,0.013215,backup name mover
s2_swap,tv,10,2,0.013580,backup name mover
s2_swap,tv,10,3,0.003648,
s2_swap,tv,10,4,0.000059,
s2_swap,tv,10,5,0.000446,
s2_swap,tv,10,6,0.033836,backup name mover
s2_swap,tv,10,7,-0.207083,negative name mover
s2_swap,tv,10,8,-0.000282,
s2_swap,tv,10,9,0.013870,
s2_swap,tv,10,10,0.020512,backup name mover
s2_swap,tv,10,11,0.001578,
s2_swap,tv,11,0,0.000631,
s2_swap,tv,11,1,-0.000312,
s2_swap,tv,11,2,-0.078246,backup name mover
s2_swap,tv,11,3,0.007443,
s2_swap,tv,11,4,-0.001534,
s2_swap,tv,11,5,-0.000047,
s2_swap,tv,11,6,-0.010354,
s2_swap,tv,11,7,0.003009,
s2_swap,tv,11,8,0.002940,
s2_swap,tv,11,9,0.002086,backup name mover
s2_swap,tv,11,10,-0.190013,negative name mover
s2_swap,tv,11,11,0.004263,
abc,logit_diff,0,0,-0.001926,
abc,logit_diff,0,1,-0.069073,duplicate token
abc,logit_diff,0,2,-0.001899,
abc,logit_diff,0,3,0.044191,
abc,logit_diff,0,4,0.051179,
abc,logit_diff,0,5,0.046940,
abc,logit_diff,0,6,-0.005110,
abc,logit_diff,0,7,-0.001610,
abc,logit_diff,0,8,-0.001041,
abc,logit_diff,0,9,0.000131,
abc,logit_diff,0,10,-0.002125,duplicate token
abc,logit_diff,0,11,-0.000209,
abc,logit_diff,1,0,-0.001056,
abc,logit_diff,1,1,0.000056,
abc,logit_diff,1,2,0.000392,
abc,logit_diff,1,3,-0.000764,
abc,logit_diff,1,4,-0.000263,
abc,logit_diff,1,5,-0.001044,
abc,logit_diff,1,6,-0.002266,
abc,logit_diff,1,7,-0.000582,
abc,logit_diff,1,8,-0.000977,
abc,logit_diff,1,9,0.000267,
abc,logit_diff,1,10,-0.000348,
abc,logit_diff,1,11,0.002706,
abc,logit_diff,2,0,-0.000405,
abc,logit_diff,2,1,-0.000865,
abc,logit_diff,2,2,-0.002319,previous token
abc,logit_diff,2,3,-0.000350,
abc,logit_diff,2,4,-0.000594,
