layer,head,position,path_effect,published_class
0,0,S2,0.000063,
0,1,S2,0.007480,duplicate token
0,2,S2,-0.000075,
0,3,S2,0.002292,
0,4,S2,0.002146,
0,5,S2,0.002161,
0,6,S2,0.000155,
0,7,S2,0.000212,
0,8,S2,-0.000120,
0,9,S2,-0.000006,
0,10,S2,-0.001115,duplicate token
0,11,S2,-0.000040,
1,0,S2,0.000250,
1,1,S2,0.000101,
1,2,S2,-0.000012,
1,3,S2,-0.000012,
1,4,S2,0.000003,
1,5,S2,0.001176,
1,6,S2,0.000187,
1,7,S2,0.000090,
1,8,S2,0.000015,
1,9,S2,0.000026,
1,10,S2,-0.000024,
1,11,S2,0.000066,
2,0,S2,0.000074,
2,1,S2,-0.000042,
2,2,S2,0.000462,previous token
2,3,S2,0.000083,
2,4,S2,-0.000020,
2,5,S2,-0.000060,
2,6,S2,-0.000052,
2,7,S2,-0.000177,
2,8,S2,0.000040,
2,9,S2,0.000242,
2,10,S2,-0.000090,
2,11,S2,-0.000045,
3,0,S2,0.003630,duplicate token
3,1,S2,0.000014,
3,2,S2,-0.000094,
3,3,S2,0.000133,
3,4,S2,0.001701,
3,5,S2,-0.000494,
3,6,S2,0.001235,
3,7,S2,0.000041,
3,8,S2,-0.000023,
3,9,S2,0.000085,
3,10,S2,-0.000039,
3,11,S2,0.000043,
4,0,S2,0.000073,
4,1,S2,0.000022,
4,2,S2,-0.000074,
4,3,S2,0.001164,
4,4,S2,-0.002325,
4,5,S2,0.000039,
4,6,S2,0.000196,
4,7,S2,-0.000087,
4,8,S2,-0.000314,
4,9,S2,0.000006,
4,10,S2,0.000009,
4,11,S2,0.000018,previous token
5,0,S2,-0.000146,
5,1,S2,0.000023,
5,2,S2,0.000038,
5,3,S2,0.000012,
5,4,S2,0.000102,
5,5,S2,-0.002516,induction
5,6,S2,0.000021,
5,7,S2,0.000039,
5,8,S2,-0.000699,induction
5,9,S2,-0.001879,induction
5,10,S2,0.000858,
5,11,S2,-0.000424,
6,0,S2,0.000879,
6,1,S2,-0.000144,
6,2,S2,-0.000064,
6,3,S2,-0.000141,
6,4,S2,0.000361,
6,5,S2,-0.000322,
6,6,S2,-0.001155,
6,7,S2,0.000163,
6,8,S2,-0.000015,
6,9,S2,-0.000010,induction
6,10,S2,-0.000104,
6,11,S2,0.000086,
