layer,head,position,path_effect,published_class
0,0,S2,-0.000067,
0,1,S2,0.011400,duplicate token
0,2,S2,-0.000079,
0,3,S2,0.002716,
0,4,S2,0.000872,
0,5,S2,0.001559,
0,6,S2,0.000187,
0,7,S2,0.000220,
0,8,S2,-0.000279,
0,9,S2,-0.000087,
0,10,S2,-0.001916,duplicate token
0,11,S2,-0.000066,
1,0,S2,-0.000349,
1,1,S2,0.000223,
1,2,S2,0.000056,
1,3,S2,-0.000000,
1,4,S2,-0.000020,
1,5,S2,0.002407,
1,6,S2,-0.000056,
1,7,S2,-0.000087,
1,8,S2,0.000072,
1,9,S2,0.000054,
1,10,S2,-0.000041,
1,11,S2,0.000509,
2,0,S2,0.000067,
2,1,S2,0.000182,
2,2,S2,0.000700,previous token
2,3,S2,-0.000148,
2,4,S2,0.000010,
2,5,S2,-0.000177,
2,6,S2,0.000037,
2,7,S2,-0.000006,
2,8,S2,0.000010,
2,9,S2,-0.000066,
2,10,S2,-0.000038,
2,11,S2,-0.000158,
3,0,S2,0.123192,duplicate token
3,1,S2,-0.000120,
3,2,S2,0.000030,
3,3,S2,0.000048,
3,4,S2,0.025040,
3,5,S2,-0.001486,
3,6,S2,0.002509,
3,7,S2,0.000033,
3,8,S2,0.000001,
3,9,S2,0.000077,
3,10,S2,-0.000615,
3,11,S2,-0.000039,
4,0,S2,-0.000289,
4,1,S2,0.000064,
4,2,S2,-0.000013,
4,3,S2,0.005638,
4,4,S2,-0.005322,
4,5,S2,-0.000111,
4,6,S2,0.000165,
4,7,S2,-0.001101,
4,8,S2,0.000658,
4,9,S2,0.000029,
4,10,S2,-0.000490,
4,11,S2,-0.000000,previous token
5,0,S2,-0.003134,
5,1,S2,0.011795,
5,2,S2,0.000046,
5,3,S2,-0.000067,
5,4,S2,-0.000082,
5,5,S2,0.310876,induction
5,6,S2,-0.000171,
5,7,S2,-0.000101,
5,8,S2,0.003049,induction
5,9,S2,0.046318,induction
5,10,S2,0.010299,
5,11,S2,-0.003852,
6,0,S2,0.007255,
6,1,S2,0.000502,
6,2,S2,0.000375,
6,3,S2,0.000575,
6,4,S2,-0.001840,
6,5,S2,-0.002512,
6,6,S2,-0.023722,
6,7,S2,0.001730,
6,8,S2,0.000639,
6,9,S2,0.092999,induction
6,10,S2,-0.001260,
6,11,S2,0.000735,
