component,layer,position,normalized_effect
attn_out,11,END,-0.341797
mlp_out,0,IO,1.344403
mlp_out,0,IO+1,-0.000137
mlp_out,0,S1,-1.299099
mlp_out,0,S1+1,-0.000006
mlp_out,0,S2,-0.628867
mlp_out,0,S2+1,0.000388
mlp_out,0,END,0.000316
mlp_out,1,IO,0.104405
mlp_out,1,IO+1,-0.000561
mlp_out,1,S1,-0.092618
mlp_out,1,S1+1,0.001021
mlp_out,1,S2,-0.029268
mlp_out,1,S2+1,0.000166
mlp_out,1,END,-0.000128
mlp_out,2,IO,0.082400
mlp_out,2,IO+1,0.000393
mlp_out,2,S1,-0.069394
mlp_out,2,S1+1,-0.000477
mlp_out,2,S2,-0.025832
mlp_out,2,S2+1,-0.001542
mlp_out,2,END,-0.000229
mlp_out,3,IO,0.081193
mlp_out,3,IO+1,-0.001404
mlp_out,3,S1,-0.078751
mlp_out,3,S1+1,-0.000923
mlp_out,3,S2,-0.034103
mlp_out,3,S2+1,-0.000547
mlp_out,3,END,0.000433
mlp_out,4,IO,0.063268
mlp_out,4,IO+1,0.000969
mlp_out,4,S1,-0.062803
mlp_out,4,S1+1,-0.001062
mlp_out,4,S2,-0.028491
mlp_out,4,S2+1,0.000962
mlp_out,4,END,0.000654
mlp_out,5,IO,0.074978
mlp_out,5,IO+1,-0.001072
mlp_out,5,S1,-0.079736
mlp_out,5,S1+1,0.001764
mlp_out,5,S2,-0.024729
mlp_out,5,S2+1,0.000895
mlp_out,5,END,0.002756
mlp_out,6,IO,0.069735
mlp_out,6,IO+1,-0.000710
mlp_out,6,S1,-0.067444
mlp_out,6,S1+1,0.002026
mlp_out,6,S2,-0.036232
mlp_out,6,S2+1,-0.000936
mlp_out,6,END,0.001729
mlp_out,7,IO,0.063029
mlp_out,7,IO+1,-0.000513
mlp_out,7,S1,-0.068388
mlp_out,7,S1+1,0.001030
mlp_out,7,S2,-0.021167
mlp_out,7,S2+1,-0.000203
mlp_out,7,END,0.000513
mlp_out,8,IO,0.043148
mlp_out,8,IO+1,-0.000099
mlp_out,8,S1,-0.041574
mlp_out,8,S1+1,0.000188
mlp_out,8,S2,-0.008060
mlp_out,8,S2+1,0.000278
mlp_out,8,END,-0.002044
mlp_out,9,IO,0.018129
mlp_out,9,IO+1,-0.000219
mlp_out,9,S1,-0.012565
mlp_out,9,S1+1,0.000478
mlp_out,9,S2,0.001070
mlp_out,9,S2+1,0.000793
mlp_out,9,END,0.045077
mlp_out,10,IO,0.000831
mlp_out,10,IO+1,0.000271
mlp_out,10,S1,0.000216
mlp_out,10,S1+1,-0.000077
mlp_out,10,S2,0.001801
mlp_out,10,S2+1,-0.000019
mlp_out,10,END,0.046934
mlp_out,11,IO,0.000000
mlp_out,11,IO+1,0.000000
mlp_out,11,S1,0.000000
mlp_out,11,S1+1,0.000000
mlp_out,11,S2,0.000000
mlp_out,11,S2+1,0.000000
mlp_out,11,END,0.044044
